Site,Location,X,Y,may need to change around,Real_ID,Name
1,JFK,709551,731847,,1,Dophins Barn
2,Dophins Barn,714384,732638,,2,JFK
3,North Strand,716998,735668,,3,North Strand
4,Goatstown,718194,728649,,4,Goatstown
5,Killester,720360,737971,,5,Killester
6,Templeoge,712774,728445,,6,Templeoge
7,Finglas,710113,738973,,7,Finglas
8,Powestown,705991,742031,,8,Malahide
9,Malahide,721946,744590,,9,Powestown
10,Cellbridge,697948,734369,,10,Ardgillan Castle
11,Argillan Castle,721522,760750,,11,Cellbridge
12,Newbridge Demesne,721522,749810,,12,Newbridge Demesne
13,Balbriggan,716922,759756,,13,Balbriggan
14,North Garristown,706574,761637,,14,North Garristown
15,Dunboyne West,693185,747170,,15,Dunboyne West
16,Balbriggan/Garristown,709612,757559,,16,Cellbridge West
17,Leixlip,700305,739882,,17,Garris/Bal
18,Cellbridge West,690900,734448,,18,Leixlip
19,Swords Lissenhall,713914,754082,,19,Ballyboughal
20,Dunboyne East,703739,746879,,20,Clane
21,Clane (Clongowes),688745,729716,,21,Dunboyne East
