"","Id","Area","X","Y","Locality","Num_Fields","Intensity","Impervious","AgIndex","Semi_Nat"
"1","1",7067960,714384,732639,"Dolphins.Barn",0,"High Urban",72,0,1
"2","2",7067960,709552,731847,"JFK",0,"High Urban",74,0,5
"3","3",7067960,716999,735669,"North.Strand",0,"High Urban",70,0,2
"4","4",7067970,718194,728650,"Goatstown",0,"Medium Urban",43,0,5
"5","5",7066670,720360,737971,"Killester",0,"Medium Urban",46,0,2
"6","6",7066670,712774,728445,"Templeogue",0,"Medium Urban",42,0,0
"7","7",7066670,710113,738973,"Finglas",69,"Low Urban",15,2.08349,3
"8","8",7066670,721946,744590,"Malahide",67,"Low Urban",12,1.75787,1
"9","9",7066670,705991,742031,"Powerstown",71,"Low Urban",18,3.01032,4
"10","10",7067960,721522,760751,"Ardgillan",0,"Semi Natural",2,1.31,10
"11","11",7067960,697948,734369,"Castletown",42,"Semi Natural",16,2.45,10
"12","12",7067960,721522,749810,"Newbridge.Demesne",72,"Semi Natural",7,2.28,18
"13","13",7067960,716922,759756,"Balbriggan",195,"Low Agri",0,2.61,5
"14","14",7067960,706574,761637,"North.Garristown",206,"Low Agri",0,2.59,0
"15","15",7067960,693185,747170,"West.Dunboyne",185,"Low Agri",1,3.44,0
"16","16",7067960,690900,734448,"Cellbridge.West",145,"Medium Agri",1,3.86,0
"17","17",7067960,709612,757559,"Garris/Bal",136,"Medium Agri",1,4.39,0
"18","18",7067960,700305,739882,"Leixlip",142,"Medium Agri",1,4.01,0
"19","19",7067960,713914,754082,"Ballyboughal",112,"High Agri",2,5.02,0
"20","20",7067960,688745,729716,"Clane",103,"High Agri",1,5.07,0
"21","21",7067960,703739,746879,"East.Dunboyne",100,"High Agri",0,6.37,0
